Phylum	Family	A22831	A22833	A22349	A22192	A22187	A22061	A22057	A22145	A22350	X7pRecSw478.1
Verrucomicrobia	Akkermansiaceae	0	9.86137798517705	0	23.2178883658373	27.2611464968153	18.5212298682284	0.0787091696182605	4.93755865155562	0	7.27118513378055
Proteobacteria	Succinivibrionaceae	0	0	0.982817409908404	31.0244339834118	5.80254777070064	2.80846532676694	0.0224883341766459	1.24882696888761	0.1162452775356	6.79312206029763
Proteobacteria	Pasteurellaceae	43.7190652214774	0	0.374406632346059	0	2.84076433121019	0	32.1920503738686	0.194903630982459	0.15983725661145	0
Bacteroidetes	Prevotellaceae	10.763736607982	7.36343672797145	52.7779634953533	0	15.4076433121019	7.75988286969253	12.6440658908191	21.0712481051036	24.8183667538506	16.3698049194232
Firmicutes	Veillonellaceae	3.44589937973811	0.569585506450727	18.2924383231932	0.448329970858552	1.4968152866242	15.3666977239452	8.02271321751841	7.9766115642821	17.8727114210985	5.87554938699977
Epsilonbacteraeota	Helicobacteraceae	0.131570703590001	0.87839692561076	3.12896971317778	13.6740641111858	0	0.871822174896846	0	0.0360932649967516	0.196163905841325	26.324311820495
Proteobacteria	Enterobacteriaceae	0	0	2.11940897238751	3.53620264514683	10.0955414012739	1.1979235990949	0	0.613585504944777	0.15983725661145	0.169635284139101
Firmicutes	Acidaminococcaceae	0	3.58907493823772	2.72781974994986	1.32257341403273	3.29936305732484	4.98469319845601	0	6.15029235544647	5.65242662016856	1.54984964145269
Bacteroidetes	Muribaculaceae	0	10.3074389239638	0.488065788593969	0	0	0	0	0.599148198946077	14.1673931996513	0
Bacteroidetes	Porphyromonadaceae	15.2559363448405	0	0	0	0	0	7.92151571372351	0	0	0
Bacteroidetes	Bacteroidales_RF16_group	0	1.15289596486412	0	0	0	0	0	12.2139608749007	0.36326649229875	0
Firmicutes	Ruminococcaceae	0.225549777582858	30.5311556409553	3.58360633816942	5.98520511096167	12.2547770700637	9.73645680819912	0.579074605048631	7.09593589836137	16.4559721011334	2.79898218829517
Proteobacteria	Neisseriaceae	6.36551594511622	0	0	0	0	0	6.74650025299376	0	0	0
